Individual{TOC=6619.758032001741, NV=18}
Individual{TOC=5404.396900838762, NV=39}
Individual{TOC=6024.493219574375, NV=27}
Individual{TOC=6108.238034392636, NV=23}
Individual{TOC=5288.298376776193, NV=42}
Individual{TOC=5449.947317338831, NV=38}
Individual{TOC=5554.037538748685, NV=34}
Individual{TOC=5839.673286721794, NV=29}
Individual{TOC=6405.587027587373, NV=20}
Individual{TOC=7541.579638062175, NV=13}
Individual{TOC=7290.820830629773, NV=14}
Individual{TOC=7854.986805170016, NV=12}
Individual{TOC=5833.363505162752, NV=30}
Individual{TOC=6754.926181110682, NV=17}
Individual{TOC=6480.659607134459, NV=19}
Individual{TOC=6897.951016072438, NV=16}
Individual{TOC=7042.294956504446, NV=15}
Individual{TOC=6255.477051639668, NV=21}
Individual{TOC=8581.127110561789, NV=11}
