Individual{TOC=9900.689618957871, NV=18}
Individual{TOC=11451.880366691064, NV=16}
Individual{TOC=9419.938424890095, NV=19}
Individual{TOC=10357.015741461239, NV=17}
Individual{TOC=6263.341553501568, NV=27}
Individual{TOC=6953.241688022952, NV=25}
Individual{TOC=5579.103189986787, NV=35}
Individual{TOC=5841.0033118899955, NV=32}
Individual{TOC=5955.036234959644, NV=28}
Individual{TOC=7705.829452401244, NV=21}
Individual{TOC=7903.219895747652, NV=20}
Individual{TOC=12400.739939926558, NV=15}
Individual{TOC=12803.19785986358, NV=14}
Individual{TOC=7208.369576693072, NV=24}
Individual{TOC=14327.540907613751, NV=13}
