Individual{TOC=5356.505622414567, NV=24}
Individual{TOC=5095.580429757478, NV=30}
Individual{TOC=5755.546002649285, NV=17}
Individual{TOC=6311.954120010545, NV=14}
Individual{TOC=5532.924618996083, NV=20}
Individual{TOC=4882.291298070416, NV=39}
Individual{TOC=4899.938739109088, NV=36}
Individual{TOC=4977.638000506393, NV=35}
Individual{TOC=5196.936714152812, NV=26}
Individual{TOC=5397.04234636793, NV=21}
Individual{TOC=6376.770764783308, NV=13}
Individual{TOC=5999.37281219796, NV=15}
Individual{TOC=5558.673707954491, NV=19}
