Individual{TOC=6847.920036054909, NV=8}
Individual{TOC=6765.289699366252, NV=9}
Individual{TOC=6058.200551281754, NV=12}
Individual{TOC=5456.141856075869, NV=18}
Individual{TOC=5754.24079124709, NV=16}
Individual{TOC=5092.829300227269, NV=19}
Individual{TOC=4909.7041858911125, NV=21}
Individual{TOC=4974.31310628654, NV=20}
Individual{TOC=4788.082245371506, NV=22}
Individual{TOC=4629.866833238477, NV=24}
Individual{TOC=4472.442475527639, NV=27}
Individual{TOC=4490.674443070997, NV=26}
Individual{TOC=4324.400876496597, NV=30}
Individual{TOC=4275.675857652661, NV=31}
Individual{TOC=4173.036062918827, NV=34}
